ISIN,company_name
us9291601097,vulcan materials co.
us30063p1057,exact sciences corp
us87165b1035,synchrony financial
us1156372096,brown-forman corp. cl b
us5732841060,martin marietta materials inc.
us74736k1016,qorvo
us8740541094,take two intact.sftw.
ie00bqpvqz61,horizon therapeutics public
us92276f1003,ventas inc.
us4932671088,keycorp
us55261f1049,m&t bank corp.
us42809h1077,hess corp.
us4364401012,hologic inc.
us14149y1082,cardinal health inc.
us72919p2020,plug power
us0404131064,arista networks
us29355a1079,enphase energy
us62944t1051,nvr inc.
us92556v1061,viatris
us45784p1012,insulet
us89400j1079,transunion
us6311031081,nasdaq inc
us3724601055,genuine parts co.
us64110d1046,netapp inc.
us8666741041,sun communities
us4461501045,huntington bancshares inc.
us45167r1041,idex
us5745991068,masco corp.
us18915m1071,cloudflare a
us8793601050,teledyne techs.
us1011211018,boston properties inc.
us8326964058,j.m. smucker co.
us7458671010,pultegroup
us24906p1093,dentsply sirona
us73278l1052,pool
us4404521001,hormel foods
us5502411037,lumen technologies
us3802371076,godaddy cl.a
us12541w2098,c.h. robinson worldwide inc.
us5018892084,lkq
us00751y1064,advance auto parts inc.
je00byss4x48,novocure
us4180561072,hasbro inc.
us6700024010,novavax
us5132721045,lamb weston holdings inc.
us0995021062,booz allen hamiltn.hldg.
ch0012032048,roche hldg p
de0007164600,sap
de0008404005,allianz
fr0000120321,l'oreal
fr0000120073,air liquide
de0007100000,daimler
nl0000235190,airbus
de0005557508,deutsche telekom
nl0012969182,adyen
de000bay0017,bayer
fr0000125486,vinci
de000a1ewww0,adidas
de0006231004,infineon technologies
de0005552004,deutsche post
be0974293251,anheuser-busch inbev
nl0000009538,philips
fr0000073272,safran
de0007664039,volkswagen pref
fr0000121485,kering
ch0210483332,cie financiere richemont
nl0013654783,prosus
it0000072618,intesa sanpaolo
fr0000120644,danone
dk0010268606,vestas wind systems
se0000108656,ericsson lm b
se0000115446,volvo b
se0011166610,atlas copco a
fr0000052292,hermes international
fr0000120693,pernod ricard
nl00150001q9,stellantis
es0148396007,industria de diseno textil sa
se0000107419,investor b
ch0432492467,alcon
de000a1ml7j1,vonovia se
fi4000297767,nordea bank
de0005190003,bmw
es0109067019,amadeus it group
de0005810055,deutsche boerse
ch0012214059,lafargeholcim
fr0000130650,dassault systems
se0000667891,sandvik
fr0000125338,cap gemini
fr0000127771,vivendi
fr0000121261,michelin
se0000103699,hexagon b
it0000062072,assicurazioni generali
nl0011585146,ferrari
fr0000133308,orange
nl0000226223,stmicroelectronics
fr0010307819,legrand
se0012673267,evolution gaming group
nl0000009165,heineken
ch0012138530,credit suisse grp
it0005239360,unicredit
ch0030170408,geberit
es0178430e18,telefonica
nl0000395903,wolters kluwer
fr0000130809,grp societe generale
de0006599905,merck
dk0010272202,genmab
fr0000051807,teleperformance
nl0013267909,akzo nobel
se0012853455,eqt
es0105066007,cellnex telecom
de0006048432,henkel pref
se0000148884,skandinaviska enskilda bk a
se0009922164,essity b
be0003565737,kbc grp
fr0000045072,credit agricole
de0005785604,fresenius
ch0025751329,logitech international
dk0060448595,coloplast b
de000ener6y0,siemens energy
se0007100599,svenska handelsbanken a
de000pah0038,porsche pref
dk0010181759,carlsberg b
ch0014852781,swiss life hldg
nl0010545661,cnh industrial nv
se0000242455,swedbank
nl0010773842,nn group
de000sym9999,symrise
ch0012549785,sonova
ch0102484968,julius baer grp
de0005439004,continental
ch0012280076,straumann
fr0010220475,alstom
nl0010832176,argenx
ch0008742519,swisscom
dk0060336014,novozymes
de0006047004,heidelbergcement
dk0010274414,danske bank
se0000310336,swedish match
de000a0d9pt0,mtu aero engines
de0007165631,sartorius pref.
be0003739530,ucb
fr0000120503,bouygues
es0105046009,aena sme
nl0000009082,kpn
fr0000120172,carrefour
nl0012015705,just eat takeaway.com nv
